modelo;area;;
1 - TS;19400400;;
1 - TS;14652900;;
1 - TS;16859700;;
1 - TS;19693800;;
1 - TS;19782000;;
1 - TS;20217600;;
1 - TS;20132100;;
1 - TS;19511100;;
1 - TS;18916200;;
1 - TS;17918100;;
1 - TS;17896500;;
1 - TS;17363700;;
2 - ARIMA;19459742;;
2 - ARIMA;19539608;;
2 - ARIMA;19539608;;
2 - ARIMA;19539608;;
2 - ARIMA;19539608;;
2 - ARIMA;19539608;;
2 - ARIMA;19539608;;
2 - ARIMA;19539608;;
2 - ARIMA;19539608;;
2 - ARIMA;19539608;;
2 - ARIMA;19539608;;
2 - ARIMA;19539608;;
3 - SARIMA;19371978;;
3 - SARIMA;17909902;;
3 - SARIMA;19046114;;
3 - SARIMA;19718323;;
3 - SARIMA;19698595;;
3 - SARIMA;19705396;;
3 - SARIMA;19878880;;
3 - SARIMA;18876172;;
3 - SARIMA;19145342;;
3 - SARIMA;19288249;;
3 - SARIMA;19323338;;
3 - SARIMA;19220819;;
4 - ETS;20882007;;
4 - ETS;16958738;;
4 - ETS;17741503;;
4 - ETS;18353861;;
4 - ETS;19357546;;
4 - ETS;22722602;;
4 - ETS;22000821;;
4 - ETS;18761088;;
4 - ETS;18456490;;
4 - ETS;19316976;;
4 - ETS;19811660;;
4 - ETS;19169881;;
5 - HOLT-WINTERS;20416834;;
5 - HOLT-WINTERS;16621418;;
5 - HOLT-WINTERS;17730357;;
5 - HOLT-WINTERS;18321130;;
5 - HOLT-WINTERS;19604795;;
5 - HOLT-WINTERS;21097261;;
5 - HOLT-WINTERS;21267549;;
5 - HOLT-WINTERS;18640126;;
5 - HOLT-WINTERS;18698335;;
5 - HOLT-WINTERS;19083154;;
5 - HOLT-WINTERS;19309654;;
5 - HOLT-WINTERS;18461060;;
