"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
16.7838584021912,16.5751569775345,16.9925598268479,16.4646771169064,17.103039687476
16.78795413025,16.5627667928317,17.0131414676684,16.4435598171527,17.1323484433474
16.78795413025,16.5581291583862,17.0177791021139,16.4364671673281,17.139441093172
16.78795413025,16.5535832735914,17.0223249869087,16.4295148364855,17.1463934240146
16.78795413025,16.5491238993128,17.0267843611873,16.4226948120599,17.1532134484402
16.78795413025,16.5447462768238,17.0311619836763,16.4159998162072,17.1599084442929
16.78795413025,16.5404460683069,17.0354621921932,16.409423214808,17.1664850456921
16.78795413025,16.5362193065059,17.0396889539942,16.4029589404674,17.1729493200327
16.78795413025,16.5320623518668,17.0438459086333,16.3966014269681,17.179306833532
16.78795413025,16.5279718558489,17.0479364046512,16.3903455531589,17.1855627073412
16.78795413025,16.5239447293541,17.051963531146,16.384186594672,17.1917216658281
16.78795413025,16.5199781154276,17.0559301450725,16.3781201821722,17.1977880783279
